id,w212,sex,comb_g,1_116783698,Gg_rs14877932,Gg_rs14885084,1_134165693,Gg_rs13939684,Gg_rs15427022,Gg_rs14891046,Gg_rs14893407,Gg_rs14895423,Gg_rs14084016,Gg_rs15015376,Gg_rs15777012,Gg_rs15749695,chr3_16000000,3_16300000,Gg_rs15282380,3_23988469,Gg_rs14327472,3_27044082,Gg_rs15308709,Gg_rs14334308,Gg_rs16251229,Gg_rs15321001,3_36969573,Gg_rs15326621,Gg_rs14342633,Gg_rs13675715,Gg_rs15337358,Gg_rs16263890,Gg_rs14349767,Gg_rs14355077,Gg_rs15352400,snp-17-141-24973-S-1,Gg_rs15361114,Gg_rs16281414,rbl1045,snp-136-57-976-S-1,Gg_rs15371495,Gg_rs16289999,Gg_rs14368844
,,,,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,1,2,4,5,6,7,8,9,10,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
34001,992,0,1,H,B,B,B,B,B,B,B,H,A,A,B,A,A,A,A,C,H,B,B,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H
34002,1073,0,2.2,A,H,H,H,H,H,H,H,A,H,H,B,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,A,A,A,A
34003,1369,1,24,H,B,B,B,B,B,B,B,H,H,H,B,H,H,H,A,-,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34004,1281,1,8.2,H,B,B,B,H,H,H,H,H,H,H,B,H,H,-,-,-,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-
34005,1036,0,2.8,H,H,H,H,B,H,H,H,H,B,B,A,B,B,B,H,-,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34006,1306,1,35.9,A,A,A,A,H,H,H,H,H,B,B,B,B,B,H,H,C,H,H,B,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34007,1000,0,2.1,H,B,H,H,H,H,H,H,B,H,H,H,H,H,A,H,-,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A
34008,781,0,1,H,H,H,H,H,H,B,B,B,A,H,H,H,-,H,H,-,A,A,H,-,A,A,A,A,A,A,H,A,A,A,A,A,A,A,H,H,H,H,H
34009,918,0,2.2,H,H,H,-,H,H,H,H,B,A,H,B,H,H,H,H,C,H,H,B,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
